20 sets of preference lists.

* Set 1 ***** |M|=|W|=15
15 men's preference list:
m1:[9, 6, 13, 5, 8, 3, 14, 2, 7, 12, 11, 4, 15, 1, 10]
m2:[9, 2, 14, 11, 8, 5, 7, 15, 10, 12, 3, 1, 4, 6, 13]
m3:[4, 13, 10, 5, 9, 8, 3, 11, 7, 15, 2, 12, 6, 14, 1]
m4:[9, 14, 1, 12, 8, 11, 2, 6, 7, 3, 4, 10, 15, 5, 13]
m5:[8, 15, 13, 4, 14, 2, 12, 10, 6, 5, 7, 11, 1, 3, 9]
m6:[4, 6, 9, 13, 7, 8, 1, 14, 2, 5, 10, 15, 11, 3, 12]
m7:[5, 7, 11, 14, 10, 6, 3, 12, 13, 2, 8, 4, 1, 15, 9]
m8:[14, 3, 13, 12, 2, 15, 8, 6, 10, 11, 1, 4, 5, 7, 9]
m9:[9, 15, 5, 4, 8, 14, 12, 10, 11, 13, 3, 6, 7, 1, 2]
m10:[7, 5, 4, 10, 3, 6, 14, 8, 2, 12, 13, 1, 15, 11, 9]
m11:[8, 3, 9, 14, 10, 13, 11, 2, 4, 15, 5, 6, 7, 12, 1]
m12:[1, 7, 13, 2, 12, 14, 15, 8, 9, 6, 3, 11, 4, 5, 10]
m13:[11, 10, 7, 12, 13, 6, 5, 9, 2, 1, 4, 3, 8, 15, 14]
m14:[14, 11, 8, 12, 15, 5, 3, 9, 2, 4, 10, 1, 6, 13, 7]
m15:[6, 14, 3, 11, 5, 15, 12, 10, 1, 4, 13, 9, 7, 8, 2]
15 women's preference list:
w1:[3, 1, 11, 2, 12, 7, 5, 6, 13, 15, 10, 4, 9, 8, 14]
w2:[15, 5, 7, 6, 10, 2, 14, 1, 4, 13, 11, 8, 12, 9, 3]
w3:[1, 13, 12, 14, 6, 8, 2, 10, 15, 11, 4, 5, 3, 7, 9]
w4:[11, 4, 12, 15, 2, 14, 5, 9, 7, 13, 8, 10, 3, 1, 6]
w5:[13, 14, 15, 2, 8, 4, 5, 3, 7, 1, 11, 9, 12, 10, 6]
w6:[11, 15, 10, 14, 3, 12, 2, 7, 9, 4, 5, 13, 1, 6, 8]
w7:[10, 7, 5, 2, 9, 3, 8, 12, 1, 11, 14, 6, 15, 4, 13]
w8:[11, 3, 9, 8, 1, 13, 6, 15, 7, 4, 12, 14, 2, 5, 10]
w9:[12, 13, 14, 5, 2, 1, 10, 6, 7, 4, 9, 11, 8, 15, 3]
w10:[8, 4, 2, 9, 7, 10, 3, 13, 6, 1, 12, 11, 5, 15, 14]
w11:[7, 4, 12, 11, 14, 10, 5, 15, 3, 2, 6, 1, 13, 8, 9]
w12:[2, 1, 11, 15, 13, 9, 8, 6, 14, 12, 3, 10, 7, 4, 5]
w13:[13, 8, 6, 11, 1, 3, 9, 14, 12, 7, 4, 2, 5, 15, 10]
w14:[14, 2, 10, 5, 8, 1, 15, 7, 3, 11, 9, 13, 12, 6, 4]
w15:[9, 8, 15, 6, 14, 13, 4, 7, 11, 3, 2, 5, 12, 1, 10]

* Set 2 ***** |M|=|W|=15
15 men's preference list:
m1:[7, 2, 10, 14, 12, 4, 9, 15, 13, 1, 3, 6, 11, 8, 5]
m2:[11, 7, 8, 2, 1, 10, 12, 4, 9, 15, 13, 14, 5, 6, 3]
m3:[3, 13, 7, 11, 5, 4, 8, 15, 9, 2, 1, 12, 6, 10, 14]
m4:[14, 12, 13, 11, 8, 4, 6, 7, 2, 1, 15, 10, 3, 9, 5]
m5:[9, 10, 4, 14, 1, 13, 5, 6, 8, 15, 12, 11, 3, 2, 7]
m6:[2, 11, 10, 1, 7, 14, 6, 4, 8, 3, 9, 5, 13, 12, 15]
m7:[13, 14, 9, 1, 11, 6, 2, 12, 10, 5, 8, 7, 4, 15, 3]
m8:[6, 7, 2, 12, 14, 9, 13, 3, 8, 4, 1, 5, 15, 10, 11]
m9:[12, 2, 14, 4, 13, 5, 3, 8, 11, 10, 1, 6, 9, 7, 15]
m10:[8, 13, 15, 1, 4, 10, 6, 14, 11, 3, 9, 7, 2, 12, 5]
m11:[7, 2, 4, 3, 9, 13, 12, 8, 11, 1, 14, 15, 6, 10, 5]
m12:[15, 7, 8, 13, 2, 12, 9, 11, 3, 1, 10, 5, 4, 6, 14]
m13:[4, 9, 15, 6, 14, 5, 8, 10, 1, 7, 2, 11, 12, 3, 13]
m14:[14, 12, 2, 4, 8, 6, 3, 11, 9, 13, 7, 15, 10, 5, 1]
m15:[2, 9, 13, 8, 1, 14, 6, 4, 5, 11, 7, 10, 3, 15, 12]
