10 graphs in testSPGraphs.txt.

** G1: |V|=10, V={0,1,...9}
(u, v, weight) E = { 
      ( 0,  2, 95.789)
      ( 0,  7, 89.249)
      ( 1,  5, 35.721)
      ( 1,  7, 25.403)
      ( 1,  8, 88.898)
      ( 2,  0, 25.082)
      ( 2,  3, 96.594)
      ( 2,  5, 16.297)
      ( 2,  6, 48.917)
      ( 3,  0, 23.466)
      ( 3,  1, 10.144)
      ( 3,  4,  0.206)
      ( 3,  6, 48.227)
      ( 3,  8, 63.476)
      ( 4,  0, 17.906)
      ( 4,  1, 46.640)
      ( 4,  6, 19.627)
      ( 5,  0, 51.813)
      ( 5,  4, 24.519)
      ( 5,  6,  3.456)
      ( 5,  7, 47.700)
      ( 6,  3, 11.204)
      ( 6,  9, 15.493)
      ( 7,  0, 81.709)
      ( 7,  1, 47.369)
      ( 8,  5, 43.347)
      ( 8,  7, 25.669)
      ( 9,  0, 55.140)
      ( 9,  5, 65.571) }
------------------------- 

** G2: |V|=10, V={0,1,...9}
(u, v, weight) E = { 
      ( 0,  3, 69.005)
      ( 0,  8, 60.346)
      ( 0,  9, 11.811)
      ( 1,  0, 20.191)
      ( 1,  2, 99.414)
      ( 1,  7, 47.777)
      ( 2,  0, 66.921)
      ( 2,  4, 10.556)
      ( 2,  5, 51.862)
      ( 2,  6, 23.815)
      ( 2,  7, 38.547)
      ( 3,  0, 22.065)
      ( 3,  1, 45.425)
      ( 3,  2, 81.207)
      ( 3,  5, 75.897)
      ( 3,  6, 32.781)
      ( 4,  7, 90.819)
      ( 5,  2, 26.448)
      ( 5,  7, 82.085)
      ( 5,  8, 96.356)
      ( 6,  2, 53.879)
      ( 6,  5, 46.007)
      ( 6,  8, 63.686)
      ( 7,  2, 34.557)
      ( 7,  6, 52.215)
      ( 7,  8, 28.310)
      ( 8,  1, 59.521)
      ( 8,  2,  7.270)
      ( 8,  9, 50.349)
      ( 9,  2,  4.251)
      ( 9,  4, 98.730)
      ( 9,  5, 36.007)
      ( 9,  7, 85.489) }
------------------------- 

** G3: |V|=10, V={0,1,...9}
(u, v, weight) E = { 
      ( 0,  1, 19.377)
      ( 0,  4,  0.171)
      ( 0,  5, 87.711)
      ( 0,  6, 48.302)
      ( 0,  8, 82.463)
      ( 0,  9, 35.333)
      ( 1,  2, 64.928)
      ( 1,  3, 53.419)
      ( 1,  4, 67.893)
      ( 1,  8, 91.069)
      ( 1,  9, 10.134)
      ( 2,  0, 64.778)
      ( 2,  3, 47.555)
      ( 2,  4, 30.045)
      ( 2,  8, 93.222)
      ( 3,  0, 62.443)
      ( 3,  2, 60.096)
      ( 3,  8, 14.019)
      ( 4,  1, 44.066)
      ( 4,  3, 73.296)
      ( 4,  5, 91.413)
      ( 4,  8, 66.893)
      ( 4,  9, 33.567)
      ( 5,  0, 47.631)
      ( 5,  2, 22.254)
      ( 5,  3, 88.107)
      ( 5,  8, 62.514)
      ( 6,  0, 71.590)
      ( 6,  2, 11.022)
      ( 6,  3, 39.385)
      ( 6,  4, 36.667)
      ( 6,  7, 80.151)
      ( 6,  9, 13.602)
      ( 7,  0,  6.015)
      ( 7,  3, 13.254)
      ( 7,  8, 68.190)
      ( 7,  9, 70.334)
      ( 8,  2, 24.163)
      ( 8,  3, 50.577)
      ( 8,  5, 40.372)
      ( 8,  6, 12.024)
      ( 8,  7, 33.008)
      ( 8,  9,  5.449)
      ( 9,  2, 45.950)
      ( 9,  5, 47.421)
      ( 9,  7, 75.052)
      ( 9,  8, 44.712) }
------------------------- 

** G4: |V|=10, V={0,1,...9}
(u, v, weight) E = { 
      ( 0,  1, 27.396)
      ( 0,  2, 12.715)
      ( 0,  5, 46.207)
      ( 0,  8, 75.039)
      ( 1,  0, 88.360)
      ( 1,  6, 79.538)
      ( 1,  7, 95.258)
      ( 2,  1, 56.711)
      ( 2,  5,  3.195)
      ( 2,  6, 82.485)
      ( 3,  0, 34.412)
      ( 3,  1, 16.753)
      ( 3,  5, 18.141)
      ( 4,  1, 92.290)
      ( 4,  3, 67.201)
      ( 4,  5, 68.639)
      ( 5,  0, 77.375)
      ( 5,  1, 15.710)
      ( 5,  6, 77.512)
      ( 5,  8, 20.894)
      ( 6,  1, 27.025)
      ( 6,  2, 91.698)
      ( 6,  3, 19.323)
      ( 6,  5, 22.800)
      ( 6,  8, 88.833)
      ( 7,  0, 69.271)
      ( 7,  1, 14.658)
      ( 7,  2, 50.929)
      ( 7,  9, 62.013)
      ( 8,  3, 97.346)
      ( 8,  5, 38.561)
      ( 8,  7,  2.533)
      ( 9,  0, 53.974)
      ( 9,  1, 20.002)
      ( 9,  2, 76.752)
      ( 9,  4, 66.966)
      ( 9,  5, 14.793)
      ( 9,  6,  6.850)
      ( 9,  7, 73.113) }
------------------------- 

** G5: |V|=10, V={0,1,...9}
(u, v, weight) E = { 
      ( 0,  1, 73.643)
      ( 0,  2, 85.738)
      ( 0,  3, 12.341)
      ( 0,  5, 66.079)
      ( 0,  7, 70.542)
      ( 0,  8, 73.979)
      ( 1,  3, 51.623)
      ( 1,  8,  6.466)
      ( 1,  9, 55.367)
      ( 2,  8, 63.911)
      ( 3,  5, 10.428)
      ( 3,  6, 72.601)
      ( 4,  0, 80.388)
      ( 4,  1, 81.725)
      ( 4,  2, 45.849)
      ( 4,  3, 24.747)
      ( 4,  5, 11.807)
      ( 4,  6, 63.680)
      ( 4,  7, 91.764)
      ( 5,  1, 84.701)
      ( 5,  7, 83.298)
      ( 5,  9, 98.713)
      ( 6,  0, 34.374)
      ( 6,  2, 36.137)
      ( 6,  3, 72.251)
      ( 6,  4, 83.912)
      ( 6,  7, 29.158)
      ( 6,  9, 24.169)
      ( 7,  0, 66.050)
      ( 7,  4, 61.400)
      ( 8,  1, 90.776)
      ( 8,  6, 16.089)
      ( 8,  9, 96.496)
      ( 9,  1, 60.696)
      ( 9,  2, 75.287)
      ( 9,  8, 79.151) }
------------------------- 

** G6: |V|=50, V={0,1,...49}
(u, v, weight) E = { 
      ( 0, 24, 48.771)
      ( 0, 41, 78.012)
      ( 0, 44, 45.714)
      ( 1,  7, 77.187)
      ( 1, 12, 82.521)
      ( 1, 14, 40.717)
      ( 2, 17, 68.406)
      ( 2, 27, 83.377)
      ( 3,  0,  3.360)
      ( 4, 15, 41.383)
      ( 7, 24, 82.255)
      ( 7, 26, 85.469)
