30 graphs in nwdGraphs30.txt

** G1: |V|=15, V={0,1,...14}
(u, v, weight) E = { 
      ( 0,  1, 52.714)
      ( 0,  8, 63.054)
      ( 1,  8, 31.297)
      ( 2,  3, 92.862)
      ( 2,  6, 70.077)
      ( 2,  8, 29.885)
      ( 2, 13,  5.528)
      ( 3,  2, 38.231)
      ( 3,  4, 27.005)
      ( 3, 10, 51.549)
      ( 3, 14, 40.414)
      ( 4,  1, 68.802)
      ( 4,  2, 30.818)
      ( 4,  3, 37.056)
      ( 4,  7, 30.717)
      ( 4, 10,  2.892)
      ( 4, 11, 43.743)
      ( 4, 14,  3.389)
      ( 5,  0, 44.359)
      ( 5,  1, 78.164)
      ( 5, 10, 91.419)
      ( 6,  1, 31.322)
      ( 6,  3, 38.352)
      ( 6,  7, 86.132)
      ( 6,  8,  0.265)
      ( 6,  9,  2.455)
      ( 7,  5, 65.080)
      ( 7,  6,  6.156)
      ( 7,  8, 65.334)
      ( 7, 10, 41.303)
      ( 7, 12, 40.195)
      ( 8,  0, 66.436)
      ( 8,  7, 37.666)
      ( 8,  9, 31.743)
      ( 8, 11, 61.558)
      ( 9,  2, 40.998)
      ( 9,  6, 10.677)
      ( 9, 12, 27.746)
      ( 9, 14, 70.605)
      (10,  1, 25.239)
      (10,  2, 32.062)
      (10,  6, 12.600)
      (10, 11, 29.253)
      (10, 13, 60.754)
      (11,  5, 30.838)
      (11,  6, 82.893)
      (11,  7, 56.958)
      (11,  8, 12.040)
      (11, 10, 62.855)
      (12, 13, 3.108)
      (13, 11, 13.711)
      (14,  8, 45.080) }
------------------------- 

** G2: |V|=15, V={0,1,...14}
(u, v, weight) E = { 
      ( 0,  3, 42.548)
      ( 0, 12, -4.456)
      ( 0, 13, 34.747)
      ( 0, 14, 87.360)
      ( 1,  0,  1.324)
      ( 1,  4, 12.807)
      ( 1,  5, 10.055)
      ( 1, 10, 52.728)
      ( 1, 14, 62.232)
      ( 2, 12, 84.499)
      ( 2, 13, 55.185)
      ( 2, 14, 69.835)
      ( 3,  1, 17.536)
      ( 3,  4, 12.920)
      ( 3,  8, 46.713)
      ( 3, 10, 24.249)
      ( 3, 14, 53.611)
      ( 4,  6, -5.853)
      ( 4,  7, 93.362)
      ( 4,  9,  6.857)
      ( 4, 10, 47.544)
      ( 5,  3, 40.712)
      ( 5,  6, 73.573)
      ( 5,  9, 69.557)
      ( 5, 12, 32.409)
      ( 5, 13, -7.401)
      ( 5, 14, 16.205)
      ( 6,  0,  5.342)
      ( 6,  1,  8.074)
      ( 6,  4, 44.397)
      ( 6,  7, 12.229)
      ( 6,  9, 71.951)
      ( 6, 10, 46.967)
      ( 7,  4, 43.209)
      ( 7,  9, -21.139)
      ( 7, 11,  7.205)
      ( 7, 14, 17.473)
      ( 8, 12, 39.621)
      ( 8, 14, -5.413)
      ( 9,  3, 83.523)
      (10,  0, -5.730)
      (10,  1, 63.382)
      (10,  2,  0.055)
      (10,  6, 16.156)
      (10, 14, 26.177)
      (11,  0, 24.970)
      (11, 10, -15.531)
      (12,  3, 50.220)
      (12,  6,  7.994)
      (12,  8, 35.256)
      (12, 13, 51.666)
      (13,  0, 13.559)
      (13,  1, 10.549)
      (13, 10, 62.805)
      (14,  0, 82.355)
      (14,  1, -4.139)
      (14, 12, 15.955) }
------------------------- 

** G3: |V|=20, V={0,1,...19}
(u, v, weight) E = { 
      ( 0,  5, -6.763)
      ( 0,  9, 78.560)
      ( 0, 15, 74.902)
      ( 0, 18,  4.137)
      ( 1,  6, 68.902)
      ( 1,  7, 52.370)
      ( 1, 12, 30.668)
      ( 2, 12, 45.851)
      ( 2, 16, 24.535)
      ( 3,  0,  2.042)
      ( 3,  2, 42.149)
      ( 3,  4, 31.045)
      ( 3, 10, 81.700)
      ( 3, 11, -7.627)
      ( 3, 13, 73.563)
      ( 3, 14, -7.517)
      ( 3, 19, 21.967)
      ( 4,  0,  6.171)
      ( 4,  3, 57.882)
      ( 4,  9, 57.866)
      ( 4, 11, 12.904)
      ( 4, 14, 13.325)
      ( 4, 18, 73.671)
      ( 5,  6, 84.489)
      ( 5,  9,  3.461)
      ( 5, 16, 75.085)
      ( 5, 17, 95.755)
      ( 5, 18, 19.812)
      ( 6,  0, -2.712)
      ( 6,  4, 58.810)
      ( 6,  5, 76.451)
      ( 6,  8, 33.095)
      ( 6, 13, 25.569)
      ( 6, 14, 19.615)
      ( 6, 15, 94.368)
      ( 6, 16, 39.071)
      ( 6, 18, 68.117)
      ( 7,  0, 75.048)
      ( 7,  6, 77.267)
      ( 7, 10,  2.824)
      ( 7, 14, 66.870)
      ( 7, 15, 17.161)
      ( 7, 16, 33.366)
      ( 8,  4, 67.655)
      ( 8,  5, -11.507)
      ( 8,  6, 50.077)
      ( 8, 11, -0.625)
      ( 8, 15, -7.923)
      ( 8, 17, 83.876)
      ( 8, 18, 77.952)
      ( 9,  0, 26.354)
      ( 9,  1, 85.227)
      ( 9,  3,  5.414)
      ( 9,  6, -20.162)
      ( 9,  7, 41.074)
      ( 9, 12, -4.083)
      ( 9, 18, 89.510)
      ( 9, 19, -17.435)
      (10,  6, 70.347)
      (10,  7, 73.624)
      (10,  9, 76.176)
      (10, 12, 22.891)
      (10, 13, 42.469)
      (10, 14, 43.072)
      (10, 15, 52.598)
      (10, 16, -15.543)
      (10, 17, 48.086)
      (10, 18, -1.995)
      (11,  0, 45.714)
      (11,  3, 61.386)
      (11,  8,  9.563)
      (11, 17, 32.166)
      (11, 18, 87.644)
      (12,  2, 48.182)
      (12,  4, 15.383)
      (12,  7, 39.684)
      (12, 10, 15.288)
      (12, 11, -4.572)
      (12, 14, 26.819)
      (12, 15, 42.534)
      (12, 18, 19.447)
      (12, 19, -8.751)
      (13,  1,  8.148)
      (13,  3, 38.524)
      (13,  5, -0.870)
      (13, 11, 75.134)
      (13, 14, 65.562)
      (13, 17, 77.242)
      (14,  4, 58.584)
      (14,  7, 20.847)
      (14, 12, 65.536)
      (14, 16, 78.701)
      (14, 17, 18.579)
      (15,  6, 20.884)
      (15,  7, 37.021)
      (15, 10,  4.207)
      (15, 11, 12.188)
      (15, 16, 82.424)
      (15, 17, 36.118)
      (15, 19, 13.227)
      (16,  1, 65.335)
      (16,  2, 55.920)
      (16,  3, 12.519)
      (16, 11, -0.165)
      (17,  1, 53.620)
      (17,  2, 34.614)
      (17,  5, 55.666)
      (17,  8, 72.500)
      (17, 13, 80.455)
      (17, 16, 13.465)
      (18,  1, 68.620)
      (18,  2, 80.171)
      (18,  4, -2.806)
      (18,  9, 14.600)
      (18, 13, 62.512)
      (19,  8,  3.859)
      (19,  9, 59.664)
      (19, 10, 58.258)
      (19, 12, 44.712) }
------------------------- 

** G4: |V|=20, V={0,1,...19}
(u, v, weight) E = { 
      ( 0,  8, 91.434)
      ( 0,  9, 81.681)
      ( 0, 12, 96.956)
      ( 0, 16, 84.582)
      ( 0, 18, 73.705)
      ( 1,  0, 14.262)
      ( 1,  2, 53.592)
      ( 1,  3, 92.631)
      ( 1,  7, 87.779)
      ( 1, 15, 24.778)
      ( 1, 19, 25.316)
      ( 2,  0, 65.863)
      ( 2,  3, 37.158)
      ( 2,  4, 40.313)
      ( 2,  6, 27.182)
      ( 2, 11,  2.102)
      ( 2, 14, 24.976)
      ( 2, 19,  2.642)
      ( 3,  0, 59.000)
      ( 3,  1, 11.093)
      ( 3, 12, 88.280)
      ( 3, 19, 85.727)
      ( 4,  1, 61.453)
      ( 4,  3, 95.436)
      ( 4,  7, 58.723)
      ( 4,  8, 74.028)
      ( 4, 13, 34.698)
      ( 5,  1, 26.753)
      ( 5,  7, 49.033)
      ( 5,  8, 63.431)
      ( 5, 10, 93.381)
      ( 5, 15, 32.539)
      ( 5, 17, 10.143)
      ( 5, 19, 41.515)
      ( 6,  4, 98.621)
      ( 6, 11,  5.710)
      ( 6, 14,  5.021)
      ( 6, 16, 60.402)
      ( 6, 19, 21.284)
      ( 7,  0, 85.652)
      ( 7,  2, 31.083)
      ( 7,  6, 23.484)
      ( 7,  8, 61.967)
      ( 7,  9, 87.368)
      ( 7, 13, 11.973)
      ( 7, 17, 62.413)
      ( 7, 18, 86.404)
      ( 8,  0, 15.771)
      ( 8,  7, 15.318)
      ( 8, 10, 18.337)
      ( 8, 15, 82.928)
      ( 8, 17, 43.803)
      ( 9,  3, 93.229)
      ( 9,  6,  8.109)
      ( 9,  7, 80.220)
      (10,  3, 42.175)
      (10,  7, 85.820)
      (10, 12, 81.678)
      (10, 13, 46.849)
      (10, 14, 92.970)
      (10, 17, 69.808)
      (10, 18, 66.926)
      (11,  3, 71.840)
      (11,  5, 49.539)
      (11,  6, 92.035)
      (11,  9, 85.732)
      (11, 10, 24.585)
      (11, 13, 44.122)
      (11, 15, 17.746)
      (11, 16, 86.597)
      (11, 18, 91.309)
      (12,  0,  4.418)
      (12,  5, 48.067)
      (12,  6, 78.583)
      (12, 11, 38.065)
      (12, 17, 18.783)
      (13,  0, 43.135)
      (13,  1, 91.097)
      (13,  4, 72.337)
      (13,  7,  2.761)
      (14,  3, 75.618)
      (14, 11, 82.966)
      (14, 12, 30.073)
      (14, 16,  7.455)
      (14, 19, 34.279)
      (15,  0, 11.488)
      (15,  4,  4.592)
      (15,  7,  9.585)
      (15,  9, 42.759)
      (15, 11, 51.725)
      (15, 12, 43.214)
      (15, 13, 43.520)
      (15, 19, 83.906)
      (16,  3, 29.984)
      (16,  5, 61.903)
      (16, 10, 42.838)
      (16, 13, 22.201)
      (16, 14, 42.746)
      (16, 15, 43.249)
      (16, 19, 27.923)
      (17,  5,  4.404)
      (17,  6, 50.600)
      (17,  8, 44.874)
      (17,  9, 35.915)
      (17, 12, 27.017)
      (17, 14, 59.516)
      (17, 19, 31.430)
      (18,  0, 74.478)
      (18,  4, 99.145)
      (18,  5, 97.671)
      (18,  6, 16.291)
      (18,  8,  9.728)
      (18, 14, 84.293)
      (18, 15, 13.116)
      (18, 16, 96.235)
      (18, 17, 23.113)
      (18, 19, 42.886)
      (19,  0, 86.554)
      (19,  2, 20.850)
      (19, 11, 29.891)
      (19, 12, 85.530)
      (19, 13, 54.252) }
------------------------- 

** G5: |V|=25, V={0,1,...24}
(u, v, weight) E = { 
      ( 0,  1, 79.354)
      ( 0,  3, 11.846)
      ( 0,  7, 93.825)
      ( 0, 11, -9.673)
      ( 0, 12, 16.163)
      ( 1,  2, 41.931)
      ( 1,  3,  9.662)
      ( 1,  4, 10.086)
      ( 1,  7, -14.545)
      ( 1, 17, 23.103)
      ( 2,  0, 60.118)
      ( 2,  1, 70.201)
      ( 2,  3, -6.023)
      ( 2,  4, 28.799)
      ( 2,  8, 27.972)
      ( 2, 17, 30.082)
      ( 2, 22, 10.646)
      ( 2, 24, 43.368)
      ( 3,  1, 95.571)
      ( 3,  2, 11.760)
      ( 3, 20, 11.126)
      ( 4,  0, 33.566)
      ( 4,  5, -1.739)
      ( 4, 12, 13.240)
      ( 4, 18, -3.078)
      ( 5,  6,  2.159)
      ( 5, 10, 70.822)
      ( 5, 16,  8.816)
      ( 5, 17, 25.595)
      ( 6,  1, 52.465)
      ( 6,  8, 61.481)
      ( 6, 11, 19.675)
      ( 6, 13, 18.667)
      ( 6, 18, 89.706)
      ( 7,  0, 46.393)
      ( 7,  8, 60.003)
      ( 7, 17,  9.453)
      ( 7, 21,  9.113)
      ( 7, 24, 12.189)
      ( 8,  1, 16.720)
      ( 8, 10, 83.713)
      ( 8, 11, 79.289)
      ( 8, 13, 69.613)
      ( 8, 14, 86.725)
      ( 8, 15, -5.027)
      ( 8, 16,  4.028)
      ( 8, 22, 67.023)
      ( 9,  7, 73.691)
      ( 9, 13,  7.312)
      ( 9, 22, 20.087)
      ( 9, 23, 46.065)
      ( 9, 24, 21.916)
      (10,  4, 83.037)
      (10,  6, 41.774)
      (10,  7, 35.526)
      (10, 11, 53.318)
      (10, 18, 46.863)
      (10, 24, 10.382)
      (11,  0, 53.432)
      (11,  2, 89.194)
      (11, 12, 72.132)
      (11, 20, -0.475)
      (11, 22,  0.864)
      (11, 23, 34.982)
      (12,  0,  8.193)
      (12,  6,  2.212)
      (13,  1, 65.307)
      (13,  4, 46.962)
      (13, 10, -0.759)
      (13, 12, -8.542)
      (13, 15, 38.628)
      (13, 16, 56.566)
      (13, 17, -6.320)
      (13, 18, 44.796)
      (14,  0, -18.321)
      (14, 11, 23.542)
      (14, 12, -1.051)
      (14, 16,  3.660)
      (14, 18, 23.773)
      (14, 22, 58.119)
      (14, 24, 36.149)
      (15,  6, 13.440)
      (15,  7, -16.132)
      (15, 11,  5.804)
      (15, 12, 77.438)
      (15, 17, 90.387)
      (15, 18,  1.936)
      (15, 23,  8.223)
      (16,  1, 61.784)
      (16,  4, 67.091)
      (16,  7, 10.982)
      (17, 11, 72.673)
      (18,  6,  1.771)
      (18,  7, 36.679)
      (18, 13, 90.084)
      (18, 20, 67.646)
      (19,  0, 18.978)
      (19,  1, 15.024)
      (19,  2, 55.935)
      (19,  4, 16.985)
      (19,  5, 14.428)
      (19,  7, -1.735)
      (19,  9,  7.413)
      (19, 10, -0.253)
      (19, 17, 70.989)
      (19, 21, 46.749)
      (20, 17, 66.953)
      (21,  5, 89.270)
      (21,  6, 48.386)
      (21, 13, 11.976)
      (21, 22, 61.424)
      (21, 23, 86.160)
      (22,  5, 18.603)
      (22,  6, 97.017)
      (22, 12, 14.149)
      (22, 15, 63.653)
      (23,  0, 47.667)
      (23,  5, 39.362)
      (23, 14, 46.916)
      (23, 17, 51.674)
      (24,  2, 25.513)
      (24,  7, 11.704) }
------------------------- 

** G6: |V|=25, V={0,1,...24}
(u, v, weight) E = { 
      ( 0,  2, 54.953)
      ( 0,  9,  8.675)
      ( 0, 11, 20.295)
      ( 0, 15,  6.257)
      ( 1,  4, 93.480)
      ( 1,  6, 41.907)
      ( 1, 16, 42.963)
      ( 1, 17, 45.420)
      ( 1, 18, 53.469)
      ( 1, 21, 30.862)
      ( 1, 23, 51.990)
      ( 2,  9, 21.185)
      ( 2, 12,  0.152)
      ( 2, 14, 59.353)
      ( 2, 20, 96.339)
      ( 3,  0, 98.750)
      ( 3,  1, 58.243)
      ( 3,  9, 28.637)
      ( 3, 18, 38.783)
      ( 3, 19, 20.577)
      ( 4,  9, 18.564)
      ( 4, 11, 83.896)
      ( 4, 13,  3.696)
      ( 4, 15, 88.739)
      ( 4, 22, 26.212)
      ( 5,  0, 63.659)
      ( 5,  6,  2.335)
      ( 5, 18, 65.801)
      ( 5, 22, 70.819)
      ( 6,  4, 82.558)
      ( 6,  7,  6.401)
      ( 6,  9, 31.274)
      ( 6, 18, 30.897)
      ( 6, 22, 28.916)
      ( 7,  2, 34.365)
      ( 7,  3, 13.594)
      ( 7,  4, 34.926)
      ( 7,  5, 38.142)
      ( 7, 11, 66.800)
      ( 7, 15, 38.086)
      ( 8,  4, 31.525)
      ( 8,  6, 85.383)
      ( 8, 10, 62.393)
      ( 8, 15,  4.063)
      ( 8, 16, 74.638)
      ( 8, 18, 29.099)
      ( 9,  7, 32.522)
      ( 9, 10, 40.893)
      ( 9, 13, 18.536)
      ( 9, 23, 65.221)
      (10,  8, 52.975)
      (10,  9, 91.844)
      (10, 13, 55.856)
      (10, 18, 46.759)
      (10, 19, 88.859)
      (10, 21, 70.276)
      (10, 22, 70.474)
      (12,  0, 13.088)
      (12,  2, 23.308)
      (12,  8,  1.052)
      (12,  9, 94.695)
      (13, 21, 13.408)
      (13, 22, 64.473)
      (14,  1, 43.643)
      (14,  7, 78.275)
      (14,  8, 33.413)
      (14, 13, 66.424)
      (14, 20, 35.949)
      (15,  4, 10.845)
      (15,  8, 37.599)
      (15, 11, 38.155)
      (15, 19, 32.036)
      (15, 21, 50.110)
      (15, 22, 30.644)
      (16,  0, 37.174)
      (16,  4, 71.114)
      (16, 10, 87.952)
      (16, 11, 34.286)
      (17,  5, 85.665)
      (17, 18, 29.770)
      (17, 24, 47.896)
      (18,  2, 40.176)
      (18,  9, 61.449)
      (18, 17, 29.676)
      (18, 19, 55.387)
      (18, 21, 55.264)
      (19,  4, 55.303)
      (19,  5, 41.467)
      (19, 21, 64.568)
      (20,  0, 71.947)
      (20,  5, 83.992)
      (20,  8, 89.462)
      (20, 10, 98.383)
      (20, 21, 20.616)
      (20, 22, 33.766)
      (20, 24, 14.095)
      (21,  3, 72.088)
      (21, 10, 44.090)
      (21, 22, 27.646)
      (22,  7, 46.903)
      (22, 13, 85.639)
      (22, 23, 71.747)
      (23,  0, 58.686)
      (23,  1, 35.020)
      (23,  4, 14.781)
      (23,  7, 76.872)
      (23,  9, 82.620)
      (23, 16, 91.839)
      (24,  4, 37.646)
      (24,  6, 10.964)
      (24,  7, 41.376)
      (24,  8, 15.285)
      (24, 10, 76.051)
      (24, 14, 35.470)
      (24, 18, 55.355)
      (24, 23, 64.868) }
------------------------- 

** G7: |V|=30, V={0,1,...29}
(u, v, weight) E = { 
      ( 0,  7, 84.828)
      ( 0,  9, -2.094)
      ( 0, 12, 52.308)
      ( 0, 15, 28.395)
      ( 0, 16, 72.832)
      ( 0, 17, 74.190)
      ( 0, 18, -4.782)
      ( 0, 24, 83.767)
      ( 1, 15, 18.078)
      ( 1, 18, -10.116)
      ( 1, 23, 87.239)
      ( 1, 27, 62.519)
      ( 2,  0, 83.401)
      ( 2, 10, 74.945)
      ( 2, 22, 27.080)
      ( 2, 23, 71.876)
      ( 2, 25, 18.999)
      ( 2, 26, 50.404)
      ( 2, 27, 46.434)
      ( 3,  0,  3.632)
      ( 3,  5, 81.518)
      ( 3, 11,  5.041)
      ( 3, 13, 71.019)
      ( 3, 14, 71.223)
      ( 3, 24, 35.471)
      ( 3, 25, 50.489)
      ( 3, 29, 74.541)
      ( 4,  0, 72.898)
      ( 4,  8, 29.442)
      ( 4, 14, 39.940)
      ( 4, 21, 21.259)
      ( 4, 28, 70.338)
      ( 5,  8,  0.806)
      ( 5, 14, 30.436)
      ( 5, 22, -10.156)
      ( 6,  4, 43.407)
      ( 6, 22, 30.449)
      ( 7,  1, 31.933)
      ( 7,  4,  3.208)
      ( 7,  6, 25.180)
      ( 8,  0, 79.630)
      ( 8,  1, 50.749)
      ( 8,  5, 75.619)
      ( 8,  6, 51.176)
      ( 8, 23, 81.675)
      ( 8, 25, 42.118)
      ( 8, 26, 29.974)
      ( 9,  4, 20.700)
      ( 9, 13, 60.336)
      ( 9, 14,  2.923)
      ( 9, 17, 62.871)
      ( 9, 22, 36.064)
      (10,  0, 82.474)
      (10,  2, 29.196)
      (10, 22, 29.638)
      (10, 28, 69.052)
      (11,  6, 31.556)
      (11,  8, 31.796)
      (11, 17,  6.630)
      (11, 26, 79.453)
      (12, 16, 36.827)
      (12, 18, 10.308)
      (12, 29, 31.636)
      (13,  2, 17.699)
      (13, 17, 12.647)
      (13, 23, 48.071)
      (13, 25, 64.626)
      (14,  5,  0.418)
      (14, 18, 68.616)
      (14, 19,  5.907)
      (14, 20, 50.546)
      (14, 27, 86.373)
      (14, 29, 90.155)
      (15,  8, 12.015)
      (15, 21, 27.948)
      (15, 22, 77.198)
      (15, 23, -6.596)
      (15, 29, 49.581)
      (16,  4, 17.522)
      (16,  5,  7.495)
      (16,  6, 33.545)
      (16, 19, 40.636)
      (16, 22, -10.211)
      (16, 25,  8.441)
      (16, 27, -9.817)
      (16, 28, 77.739)
      (17,  2, 57.484)
      (17, 15, -5.244)
      (17, 22, 43.573)
      (17, 29, 12.283)
      (18,  0, -15.955)
      (18,  9, 93.478)
      (18, 11, 70.803)
      (18, 23, 58.326)
      (19,  3, 67.829)
      (19,  8, 62.322)
      (19,  9,  9.263)
      (19, 10, 63.359)
      (19, 11, 43.785)
      (19, 16, 34.148)
      (19, 21, 26.505)
      (19, 22, 77.985)
      (20,  2, 47.941)
      (20,  7, 60.878)
      (20, 17, 59.674)
      (20, 19, 41.558)
      (21,  8, 62.717)
      (21, 11, 41.850)
      (21, 17, 24.021)
      (21, 22, 22.269)
      (22,  5, 50.081)
      (22, 25, 17.965)
      (23,  0, 40.190)
      (23,  3, 77.132)
      (23,  6, 81.652)
      (23, 20, 28.496)
      (23, 28, 42.323)
      (24,  2, 63.121)
      (24,  4, 59.781)
      (24,  8, 27.030)
      (24, 20, 30.406)
      (24, 21, 11.351)
      (24, 23, 35.475)
      (24, 28, 64.106)
      (25,  0,  0.837)
      (25,  1, 20.237)
      (25,  6, 87.094)
      (25, 10, 31.169)
      (25, 11, 62.807)
      (25, 13, 28.308)
      (25, 18, 15.647)
      (25, 20, 51.168)
      (25, 27,  7.851)
      (26,  2, 73.179)
      (26,  4, 31.223)
      (26,  9, 78.848)
      (26, 13, 74.286)
      (26, 16, 76.675)
      (26, 23,  8.710)
      (26, 25, 51.264)
      (27, 15, 26.521)
      (27, 19, 11.382)
      (27, 28, 20.642)
      (28,  3, -9.462)
      (28, 21, 15.625)
      (28, 25, 31.604)
      (28, 27, 52.490)
      (29,  0, 45.665)
      (29,  8, 77.744)
      (29, 15, 24.267)
      (29, 17, 75.203)
      (29, 25, -10.879) }
------------------------- 

** G8: |V|=30, V={0,1,...29}
(u, v, weight) E = { 
      ( 0,  2, 21.770)
      ( 0,  6, 38.940)
      ( 0, 11, 37.521)
      ( 0, 13, 18.938)
      ( 0, 15, 41.689)
      ( 1,  2, 84.791)
      ( 1,  6, 50.398)
      ( 1,  8, 79.269)
      ( 1,  9, 90.033)
      ( 1, 19, 16.841)
      ( 2,  0, 63.331)
      ( 2,  5, 42.830)
      ( 2, 19, 42.332)
      ( 3,  1, 99.598)
      ( 3,  4, 16.335)
      ( 3,  8, 57.693)
      ( 3,  9, 60.004)
      ( 3, 15, 85.318)
      ( 3, 25, 33.714)
      ( 4,  0, 80.297)
      ( 4,  1, 86.145)
      ( 4,  6,  7.298)
      ( 4, 11, 34.731)
      ( 4, 27, 22.768)
      ( 4, 28, 49.983)
      ( 5,  6,  9.864)
      ( 5,  9, 34.784)
      ( 5, 10, 66.705)
      ( 6,  0, 59.972)
      ( 6,  2, 51.389)
      ( 6,  3, 86.590)
      ( 6, 17, 49.468)
      ( 6, 20, 53.499)
      ( 7,  0, 79.243)
      ( 7,  1, 54.077)
      ( 7,  2, 70.432)
      ( 7,  3, 59.523)
      ( 7,  5, 49.445)
      ( 7,  8, 79.176)
      ( 7,  9,  6.287)
      ( 7, 13, 62.161)
      ( 7, 14, 50.576)
      ( 7, 15, 36.103)
      ( 7, 23, 27.820)
      ( 7, 24, 71.875)
      ( 7, 28, 54.344)
      ( 8,  1, 53.288)
      ( 8,  2, 12.447)
      ( 8,  3, 97.547)
      ( 8,  7, 48.948)
      ( 8,  9, 94.937)
      ( 8, 15, 46.847)
      ( 8, 26, 76.196)
      ( 8, 27, 67.396)
      ( 9,  4, 46.864)
      ( 9,  8, 49.054)
      ( 9, 11, 23.969)
      ( 9, 12, 35.501)
      ( 9, 13,  7.506)
      ( 9, 21, 74.633)
      ( 9, 29, 88.753)
      (10,  8, 53.736)
      (10, 13, 20.403)
      (10, 15,  1.238)
      (10, 16, 85.489)
      (10, 19, 63.416)
      (10, 25, 39.278)
      (11,  6, 30.192)
      (11,  9, 77.607)
      (11, 10, 59.302)
      (11, 14, 50.416)
      (11, 16, 20.079)
      (11, 17, 78.444)
      (11, 19, 69.109)
      (11, 24, 49.781)
      (11, 25, 51.334)
      (12, 11, 52.997)
      (12, 22, 91.509)
      (12, 26, 95.476)
      (12, 29, 78.825)
      (13,  1, 48.479)
      (13,  2, 95.630)
      (13, 19, 70.374)
      (13, 26,  7.378)
      (14,  5,  0.803)
      (14,  8, 44.618)
      (14,  9, 37.102)
      (14, 13, 86.123)
      (14, 22, 17.209)
      (14, 23, 68.288)
      (14, 24, 15.635)
      (14, 25, 55.711)
      (15, 13, 77.060)
      (16,  3, 69.646)
      (16,  4, 39.395)
      (16,  8, 90.649)
      (16,  9, 53.069)
      (16, 14,  4.530)
      (16, 18, 22.080)
      (16, 21, 99.662)
      (16, 22, 51.656)
      (17,  0,  8.949)
      (17,  4, 37.938)
      (17,  6, 45.997)
      (17,  7, 75.801)
      (17, 14,  0.041)
      (18, 19, 94.452)
      (18, 26, 12.313)
      (18, 28, 35.423)
      (19,  0, 29.667)
      (19, 11, 14.114)
      (19, 13, 37.177)
      (19, 18, 20.096)
      (19, 28,  2.410)
      (20, 11, 92.654)
      (20, 12, 63.689)
      (20, 16, 33.555)
      (20, 18, 86.754)
      (20, 23, 12.175)
      (20, 24, 94.231)
      (20, 28, 80.410)
      (21,  1, 15.072)
      (21,  3, 48.436)
      (21, 15, 17.814)
      (21, 22, 65.742)
      (21, 24, 77.785)
      (21, 25, 13.020)
      (21, 29, 76.346)
      (22, 26, 49.680)
      (23,  0, 96.743)
      (23,  3, 98.173)
      (23,  4, 74.401)
      (23, 10, 99.385)
      (24,  4, 97.353)
      (24, 23, 20.716)
      (24, 26, 25.234)
      (25,  4, 51.360)
      (25, 12, 49.098)
      (25, 16, 17.260)
      (25, 28, 21.325)
      (26,  0, 28.660)
      (26,  3, 49.656)
      (26,  8, 46.104)
      (26, 12, 96.883)
      (26, 15, 55.085)
      (26, 20, 26.698)
      (26, 28, 59.527)
      (27,  2, 80.060)
      (27,  3, 38.496)
      (27,  6, 53.626)
      (27,  7, 57.933)
      (27, 13, 86.170)
      (27, 14, 11.674)
      (27, 23, 36.349)
      (27, 26, 53.694)
      (27, 28, 42.045)
      (27, 29, 67.965)
      (28,  4, 37.217)
      (28,  5, 34.190)
      (28, 12, 56.348)
